P02034285;Uvaria clavata;Uvaria;clavata;Uvaria clavata;ACCEPTED;Uvaria clavata;Pierre ex Engl. & Diels;https://ipni.org/n/75620-1
P02034286;Uvaria clavata;Uvaria;clavata;Uvaria clavata;ACCEPTED;Uvaria clavata;Pierre ex Engl. & Diels;https://ipni.org/n/75620-1
P02034279;Uvaria clavata;Uvaria;clavata;Uvaria clavata;ACCEPTED;Uvaria clavata;Pierre ex Engl. & Diels;https://ipni.org/n/75620-1
P02034280;Uvaria clavata;Uvaria;clavata;Uvaria clavata;ACCEPTED;Uvaria clavata;Pierre ex Engl. & Diels;https://ipni.org/n/75620-1
P02034281;Uvaria clavata;Uvaria;clavata;Uvaria clavata;ACCEPTED;Uvaria clavata;Pierre ex Engl. & Diels;https://ipni.org/n/75620-1
P02034283;Uvaria clavata;Uvaria;clavata;Uvaria clavata;ACCEPTED;Uvaria clavata;Pierre ex Engl. & Diels;https://ipni.org/n/75620-1
P02034284;Uvaria clavata;Uvaria;clavata;Uvaria clavata;ACCEPTED;Uvaria clavata;Pierre ex Engl. & Diels;https://ipni.org/n/75620-1
barcode;species;genus;specific_epithet;sp_idx;status;accepted_name;ipni_species_author;ipni_no
P00248147;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248148;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248149;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248150;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248151;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248152;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248153;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248154;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248155;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248156;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248157;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248158;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248159;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248160;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248161;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248162;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248163;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248164;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248165;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248166;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248167;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248168;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248169;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248170;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248171;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248172;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248173;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248174;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248175;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00248176;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00142659;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00142660;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00142661;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
P00142662;Uvaria cordata;Uvaria;cordata;Uvaria cordata;SYNONYM;Uvaria littoralis;(Blume) Blume;https://ipni.org/n/75628-1
